,store,date,weekly_sales,holiday_flag,temperature,fuel_price,cpi,unemployment,week_number,month,week_of_month,prev_weekly_sales,prev_temperature,prev_fuel_price,prev_cpi,prev_unemployment,weekly_sales_diff,temperature_diff,fuel_price_diff,cpi_diff,unemployment_diff,prev_month,prev_week_number,prev_week_of_month,prev_holiday_flag,holiday_flag_diff
0,1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,5,2,1,1643690.9,42.31,2.572,211.0963582,8.106,0.0,0.0,0.0,0.0,0.0,2.0,5,1.0,0.0,0.0
1,1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,6,2,2,1643690.9,42.31,2.572,211.0963582,8.106,-1733.4599999999627,-3.8000000000000043,-0.02400000000000002,0.14581160000000182,0.0,2.0,5,1.0,0.0,1.0
2,1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,7,2,3,1641957.44,38.51,2.548,211.2421698,8.106,-29989.27000000002,1.4200000000000017,-0.03400000000000025,0.04697310000000243,0.0,2.0,6,2.0,1.0,-1.0
3,1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,8,2,4,1611968.17,39.93,2.514,211.2891429,8.106,-202240.57999999984,6.700000000000003,0.04700000000000015,0.030499999999989313,0.0,2.0,7,3.0,0.0,0.0
4,1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,9,3,1,1409727.59,46.63,2.561,211.3196429,8.106,145079.08999999985,-0.13000000000000256,0.06400000000000006,0.030500000000017735,0.0,2.0,8,4.0,0.0,0.0
5,1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,10,3,2,1554806.68,46.5,2.625,211.3501429,8.106,-115265.08999999985,11.29,0.041999999999999815,0.030499999999989313,0.0,3.0,9,1.0,0.0,0.0
6,1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,11,3,3,1439541.59,57.79,2.667,211.3806429,8.106,32974.19999999995,-3.210000000000001,0.05300000000000038,-0.1650079000000062,0.0,3.0,10,2.0,0.0,0.0
7,1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,12,3,4,1472515.79,54.58,2.72,211.215635,8.106,-68085.87000000011,-3.1299999999999955,0.01200000000000001,-0.1975925999999788,0.0,3.0,11,3.0,0.0,0.0
8,1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,13,4,1,1404429.92,51.45,2.732,211.0180424,8.106,190538.3600000001,10.82,-0.013000000000000345,-0.19759250000001316,-0.29800000000000004,3.0,12,4.0,0.0,0.0
9,1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,14,4,2,1594968.28,62.27,2.719,210.8204499,7.808,-49549.75,3.5899999999999963,0.051000000000000156,-0.19759250000001316,0.0,4.0,13,1.0,0.0,0.0
10,1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,15,4,3,1545418.53,65.86,2.77,210.6228574,7.808,-79360.25,0.45999999999999375,0.03799999999999981,-0.13415739999999232,0.0,4.0,14,2.0,0.0,0.0
