,model,acc,cm,f1
10,svc_df_week_store_scaled,0.7606837606837606,"[[15  4  0 ...  0  0  0]
 [ 0 22  0 ...  0  0  0]
 [ 0  0 12 ...  0  0  0]
 ...
 [ 0  0  0 ... 29  0  0]
 [ 0  0  0 ...  0 31  0]
 [ 0  0  0 ...  0  0 24]]","[0.58823529 0.77192982 0.36923077 0.75409836 0.8358209  0.73333333
 0.95081967 0.95238095 0.83076923 0.90322581 0.62962963 0.90625
 0.59016393 0.94117647 0.92857143 0.98591549 0.90140845 0.53571429
 0.66666667 0.90196078 0.87272727 0.46428571 0.92857143 0.52380952
 0.88888889 0.73170732 0.70769231 0.92537313 0.95384615 0.18518519
 0.24       0.91525424 0.96296296 0.89361702 0.62295082 0.33333333
 0.2        1.         0.25       0.86666667 0.94736842 0.8627451
 0.98305085 1.         0.90566038]"
11,svc_df_week_store_not_scaled,0.16783216783216784,"[[ 0  1  0 ...  0  0  0]
 [ 0 17  0 ...  0  0  0]
 [ 0  0 19 ...  0  2  0]
 ...
 [ 0  0  0 ...  2  0  1]
 [ 0  0  0 ...  0 25  0]
 [ 0  0  0 ...  1  0 12]]","[0.         0.33333333 0.33043478 0.31775701 0.         0.22680412
 0.         0.16949153 0.         0.         0.         0.20588235
 0.         0.         0.14545455 0.         0.15730337 0.14705882
 0.         0.13953488 0.         0.         0.         0.15625
 0.28571429 0.         0.32835821 0.11764706 0.19875776 0.
 0.1986755  0.32075472 0.         0.         0.         0.
 0.         0.         0.         0.11428571 0.         0.
 0.12903226 0.37037037 0.28571429]"
12,kneighbors_df_week_store_scaled,0.5151515151515151,"[[ 7  8  0 ...  0  0  0]
 [15  9  0 ...  0  0  0]
 [ 0  0  7 ...  0  0  0]
 ...
 [ 0  0  0 ... 26  0  1]
 [ 0  0  0 ...  0 23  0]
 [ 0  0  0 ...  0  0 17]]","[0.12962963 0.27692308 0.12068966 0.66666667 0.17647059 0.21276596
 0.84090909 0.90666667 0.15384615 0.79411765 0.1025641  0.66666667
 0.58064516 0.81967213 0.46376812 0.91666667 0.8        0.17647059
 0.38235294 0.67857143 0.43902439 0.19230769 0.82352941 0.20833333
 0.8        0.47826087 0.25641026 0.71428571 0.84375    0.07692308
 0.         0.69387755 0.86153846 0.61538462 0.04255319 0.
 0.04347826 0.94545455 0.04347826 0.72       0.96551724 0.69387755
 0.92857143 0.86792453 0.68      ]"
13,kneighbors_df_week_store_not_scaled,0.21833721833721834,"[[11  1  0 ...  0  0  0]
 [ 1 10  0 ...  0  0  0]
 [ 0  0 19 ...  0  0  0]
 ...
 [ 0  0  1 ...  6  0  0]
 [ 0  0  3 ...  0 11  0]
 [ 1  0  0 ...  1  0  9]]","[0.26506024 0.22222222 0.43181818 0.28571429 0.33802817 0.14545455
 0.07692308 0.24       0.1971831  0.19230769 0.23809524 0.10526316
 0.21333333 0.16326531 0.13559322 0.09756098 0.06666667 0.17391304
 0.27586207 0.14545455 0.17857143 0.14545455 0.1754386  0.14285714
 0.08695652 0.05555556 0.16216216 0.09756098 0.21428571 0.43333333
 0.19047619 0.25       0.75757576 0.31578947 0.1025641  0.21276596
 0.21052632 0.30434783 0.08510638 0.125      0.08163265 0.12
 0.26086957 0.39285714 0.27272727]"
14,tree_df_week_store_scaled,0.9588189588189588,"[[20  0  0 ...  0  0  0]
 [ 2 28  0 ...  0  0  0]
 [ 0  0 25 ...  0  0  0]
 ...
 [ 0  0  0 ... 33  0  0]
 [ 0  0  0 ...  0 27  0]
 [ 0  0  0 ...  0  0 21]]","[0.85106383 0.93333333 0.84745763 0.98461538 0.97058824 0.94285714
 0.98507463 0.95522388 0.98113208 1.         0.92307692 0.92682927
 0.98113208 0.96875    1.         1.         0.98591549 0.89855072
 0.95081967 1.         0.95238095 0.96       0.94736842 0.95833333
 0.98360656 0.98550725 0.95081967 0.89655172 0.98245614 0.86666667
 0.85185185 0.91891892 1.         1.         0.96428571 0.97959184
 0.96153846 1.         0.89795918 0.94545455 1.         1.
 1.         0.98181818 1.        ]"
15,tree_df_week_store_not_scaled,0.958041958041958,"[[21  1  0 ...  0  0  0]
 [ 0 28  0 ...  0  0  0]
 [ 0  0 21 ...  0  0  0]
 ...
 [ 0  0  0 ... 31  0  0]
 [ 0  0  0 ...  0 37  0]
 [ 0  0  0 ...  0  0 27]]","[0.91304348 0.93333333 0.93333333 0.96296296 0.97435897 1.
 0.96428571 1.         0.96296296 0.98734177 0.85185185 0.98245614
 0.96774194 0.98039216 1.         1.         1.         0.85185185
 0.92307692 1.         0.88888889 0.93333333 0.96428571 0.94117647
 1.         0.94444444 0.98507463 0.98507463 0.95238095 0.83333333
 0.87671233 0.98245614 0.98305085 0.98245614 0.84615385 0.91666667
 0.94117647 1.         0.94339623 0.96153846 1.         1.
 1.         0.98666667 0.96428571]"
16,random_forest_df_week_prev_store_scaled,0.9797979797979798,"[[26  0  0 ...  0  0  0]
 [ 0 24  0 ...  0  0  0]
 [ 0  0 29 ...  0  0  0]
 ...
 [ 0  0  0 ... 26  0  0]
 [ 0  0  0 ...  0 32  0]
 [ 0  0  0 ...  0  0 29]]","[0.9122807  0.94117647 0.96666667 0.98507463 0.95238095 1.
 1.         0.98412698 0.98113208 1.         0.97959184 0.93548387
 0.98666667 1.         0.98245614 1.         1.         0.97674419
 0.97368421 1.         1.         1.         0.98412698 0.96875
 1.         0.96296296 1.         0.94117647 1.         0.97619048
 0.93506494 1.         1.         1.         1.         0.9375
 0.96       1.         0.92307692 0.98360656 1.         1.
 1.         1.         1.        ]"
17,random_forest_df_week_prev_store_not_scaled,0.986013986013986,"[[27  0  0 ...  0  0  0]
 [ 1 27  0 ...  0  0  0]
 [ 0  0 17 ...  0  0  0]
 ...
 [ 0  0  0 ... 24  0  0]
 [ 0  0  0 ...  0 34  0]
 [ 0  0  0 ...  0  0 25]]","[0.98181818 0.98181818 1.         1.         1.         1.
 0.95833333 0.96       0.97368421 1.         1.         0.91525424
 1.         0.98461538 1.         1.         1.         1.
 0.98181818 1.         0.98461538 1.         0.93333333 0.98245614
 1.         1.         1.         0.89361702 1.         0.98039216
 0.98550725 0.98360656 1.         1.         1.         0.98245614
 0.97297297 1.         1.         0.94339623 1.         1.
 1.         1.         0.96153846]"
18,svc_df_week_prev_store_scaled,0.7653457653457654,"[[12  1  0 ...  0  0  0]
 [ 2 21  0 ...  0  0  0]
 [ 0  0 20 ...  0  0  0]
 ...
 [ 0  0  0 ... 23  0  0]
 [ 0  0  0 ...  0 34  0]
 [ 0  0  0 ...  0  0 28]]","[0.48979592 0.80769231 0.63492063 0.73846154 0.83783784 0.70769231
 0.96153846 0.96551724 0.72       0.90909091 0.61290323 0.95454545
 0.62745098 1.         0.83018868 1.         0.98360656 0.42857143
 0.49122807 0.92857143 0.8627451  0.55737705 0.95081967 0.49230769
 0.92105263 0.72727273 0.76190476 0.96774194 0.98181818 0.09302326
 0.08510638 0.96428571 0.96       0.96551724 0.60714286 0.13953488
 0.25       1.         0.34920635 0.92857143 0.97777778 0.95238095
 1.         1.         0.98245614]"
19,svc_df_week_prev_store_not_scaled,0.2097902097902098,"[[15  1  0 ...  0  0  0]
 [ 0 16  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]","[0.28037383 0.32653061 0.         0.4        0.36190476 0.
 0.         0.28571429 0.2189781  0.         0.1875     0.
 0.         0.         0.         0.         0.         0.
 0.04651163 0.         0.24561404 0.         0.06060606 0.
 0.28813559 0.         0.44776119 0.04081633 0.         0.56
 0.19047619 0.42105263 0.71052632 0.1641791  0.         0.18181818
 0.         0.         0.         0.         0.20338983 0.19148936
 0.         0.         0.        ]"
20,kneighbors_df_week_prev_store_scaled,0.4677544677544678,"[[ 8  4  0 ...  0  0  0]
 [14 10  0 ...  0  0  0]
 [ 0  0 10 ...  0  0  0]
 ...
 [ 0  0  0 ... 18  0  0]
 [ 0  0  0 ...  0 24  0]
 [ 0  0  0 ...  0  0 17]]","[0.14545455 0.32258065 0.15625    0.57894737 0.2        0.23529412
 0.79411765 0.72131148 0.08       0.71875    0.22222222 0.49122807
 0.46666667 0.86956522 0.45714286 0.85245902 0.75862069 0.18181818
 0.15625    0.65384615 0.40909091 0.26415094 0.86153846 0.03921569
 0.59090909 0.43478261 0.30769231 0.44444444 0.83018868 0.
 0.03773585 0.77966102 0.66666667 0.7027027  0.28       0.03921569
 0.08888889 0.9122807  0.         0.75757576 0.8627451  0.64
 0.87804878 0.92307692 0.65384615]"
21,kneighbors_df_week_prev_store_not_scaled,0.24087024087024086,"[[10  0  0 ...  0  0  0]
 [ 0  9  0 ...  0  0  0]
 [ 0  0 14 ...  0  0  0]
 ...
 [ 0  0  0 ...  5  0  0]
 [ 0  0  1 ...  0 10  0]
 [ 0  0  0 ...  0  0  7]]","[0.24096386 0.21176471 0.37333333 0.20338983 0.35294118 0.07272727
 0.02666667 0.33333333 0.16129032 0.27118644 0.22222222 0.23333333
 0.25396825 0.15       0.22641509 0.19512195 0.08333333 0.14545455
 0.16       0.25       0.1754386  0.29090909 0.18181818 0.07142857
 0.31578947 0.10909091 0.17777778 0.36666667 0.15686275 0.64615385
 0.27586207 0.42622951 0.85714286 0.11764706 0.17391304 0.04878049
 0.42307692 0.25454545 0.1025641  0.         0.04255319 0.31746032
 0.15873016 0.34482759 0.30434783]"
22,tree_df_week_prev_store_scaled,0.9308469308469308,"[[ 9  1  0 ...  0  0  0]
 [ 0 19  0 ...  0  0  0]
 [ 0  0 17 ...  0  0  0]
 ...
 [ 0  0  0 ... 18  0  0]
 [ 0  0  0 ...  0 37  0]
 [ 0  0  0 ...  0  0 30]]","[0.64285714 0.9047619  0.89473684 0.94339623 0.96969697 0.98039216
 0.97959184 1.         0.96666667 0.88461538 0.87096774 0.90909091
 0.87272727 0.98734177 0.98039216 0.97142857 0.98181818 0.76666667
 0.79310345 1.         0.89285714 0.83870968 0.95384615 0.85245902
 0.98412698 0.94915254 0.90625    0.84444444 0.9787234  0.90666667
 0.83018868 0.98181818 0.98305085 1.         0.90625    0.9122807
 0.92957746 1.         0.89189189 0.94117647 0.98113208 0.98666667
 1.         0.98666667 0.98360656]"
23,tree_df_week_prev_store_not_scaled,0.9324009324009324,"[[26  0  0 ...  0  0  0]
 [ 0 28  0 ...  0  0  0]
 [ 0  0 23 ...  0  0  0]
 ...
 [ 0  0  0 ... 24  0  0]
 [ 0  0  0 ...  0 32  0]
 [ 0  0  0 ...  0  0 30]]","[0.76470588 0.93333333 0.93877551 0.89285714 0.97058824 0.92857143
 0.94915254 0.97674419 0.96666667 0.97297297 0.88888889 0.86486486
 0.8974359  0.95       0.94117647 0.95238095 1.         0.9375
 0.90909091 0.93548387 0.98305085 0.95652174 0.98305085 0.90196078
 0.96       0.89285714 0.95       0.93333333 1.         0.87272727
 0.76923077 0.92592593 0.97058824 1.         0.95652174 0.83333333
 0.91666667 1.         0.8        0.98113208 0.94915254 1.
 1.         0.96969697 0.95238095]"
24,random_forest_df_week_prev_diff_store_scaled,0.9805749805749806,"[[26  0  0 ...  0  0  0]
 [ 0 32  0 ...  0  0  0]
 [ 0  0 31 ...  0  0  0]
 ...
 [ 0  0  0 ... 27  0  0]
 [ 0  0  0 ...  0 33  0]
 [ 0  0  0 ...  0  0 23]]","[0.89655172 0.98461538 0.98412698 1.         0.9787234  1.
 1.         0.98039216 0.98412698 1.         1.         0.96153846
 1.         1.         1.         1.         1.         0.98507463
 0.94339623 1.         1.         1.         0.91525424 0.92063492
 1.         1.         0.98360656 0.96428571 1.         1.
 0.8852459  1.         1.         1.         1.         0.97560976
 0.95833333 1.         0.9375     0.91525424 1.         1.
 1.         1.         1.        ]"
25,random_forest_df_week_prev_diff_store_not_scaled,0.9790209790209791,"[[21  0  0 ...  0  0  0]
 [ 1 30  0 ...  0  0  0]
 [ 0  0 30 ...  0  0  0]
 ...
 [ 0  0  0 ... 34  0  0]
 [ 0  0  0 ...  0 28  0]
 [ 0  0  0 ...  0  0 24]]","[0.91304348 0.96774194 1.         0.98245614 0.98412698 1.
 0.96774194 1.         1.         1.         1.         0.86792453
 0.98039216 1.         0.97560976 1.         1.         0.96666667
 0.98039216 1.         1.         0.97222222 0.94545455 0.96296296
 1.         0.9787234  0.95454545 0.87719298 0.96       0.98245614
 0.98412698 0.98305085 1.         1.         0.98412698 0.98113208
 0.98360656 1.         0.95522388 0.94117647 1.         1.
 1.         1.         0.97959184]"
26,svc_df_week_prev_diff_store_scaled,0.6534576534576535,"[[ 5  1  0 ...  0  0  0]
 [ 2 24  0 ...  0  0  0]
 [ 0  0 12 ...  0  0  0]
 ...
 [ 0  0  0 ... 21  0  0]
 [ 0  0  0 ...  0 31  0]
 [ 0  0  0 ...  0  0 29]]","[0.18518519 0.75       0.34285714 0.64150943 0.57142857 0.57777778
 0.80851064 0.84615385 0.53846154 0.97777778 0.25641026 0.8852459
 0.61111111 0.91304348 0.85185185 0.9375     0.89285714 0.36666667
 0.31746032 0.8        0.66666667 0.46428571 0.90566038 0.23529412
 0.76923077 0.64788732 0.65384615 0.86363636 0.92063492 0.
 0.10869565 0.83333333 0.90909091 0.73846154 0.53125    0.30985915
 0.25806452 0.98412698 0.21621622 0.91428571 0.94339623 0.81355932
 0.93333333 0.98412698 0.89230769]"
27,svc_df_week_prev_diff_store_not_scaled,0.21445221445221446,"[[ 2  0  0 ...  0  0  0]
 [ 0  3  0 ...  0  0  0]
 [ 0  0  0 ...  0  3  0]
 ...
 [ 0  0  0 ... 21  0  0]
 [ 0  0  0 ...  0 19  0]
 [ 0  0  0 ...  4  0  0]]","[0.11111111 0.11538462 0.         0.3373494  0.         0.26666667
 0.         0.06666667 0.         0.26666667 0.2406015  0.
 0.33333333 0.         0.         0.         0.24242424 0.
 0.         0.         0.36170213 0.         0.         0.
 0.         0.24193548 0.30769231 0.         0.22988506 0.5
 0.33333333 0.37735849 0.69565217 0.         0.         0.17777778
 0.         0.         0.         0.         0.05263158 0.
 0.4        0.37254902 0.        ]"
28,kneighbors_df_week_prev_diff_store_scaled,0.2463092463092463,"[[ 4 15  0 ...  0  0  0]
 [16  1  0 ...  0  0  0]
 [ 0  0  2 ...  0  0  0]
 ...
 [ 0  0  4 ... 12  0  1]
 [ 0  0  0 ...  0 15  0]
 [ 0  0  0 ...  0  0 13]]","[0.05970149 0.03030303 0.0239521  0.47887324 0.         0.0754717
 0.45       0.10909091 0.03636364 0.48888889 0.         0.38235294
 0.26415094 0.5        0.22900763 0.51612903 0.53731343 0.11650485
 0.06779661 0.4        0.         0.         0.62222222 0.
 0.32       0.18181818 0.37209302 0.38297872 0.43478261 0.
 0.         0.50909091 0.28       0.40909091 0.08888889 0.
 0.         0.73170732 0.         0.375      0.41025641 0.1509434
 0.6        0.73170732 0.50980392]"
29,kneighbors_df_week_prev_diff_store_not_scaled,0.23465423465423466,"[[13  0  0 ...  0  0  0]
 [ 0  7  0 ...  0  0  0]
 [ 0  0 16 ...  0  0  0]
 ...
 [ 0  0  0 ... 10  0  0]
 [ 0  0  0 ...  0 10  0]
 [ 0  0  0 ...  1  0  5]]","[0.2826087  0.17721519 0.39506173 0.22535211 0.35714286 0.11267606
 0.07692308 0.22535211 0.24657534 0.25806452 0.21917808 0.15625
 0.10909091 0.09302326 0.14285714 0.24       0.1509434  0.24137931
 0.09677419 0.29268293 0.35087719 0.13114754 0.13636364 0.11320755
 0.33333333 0.13043478 0.14285714 0.18181818 0.18181818 0.59016393
 0.24615385 0.38596491 0.86363636 0.13793103 0.16326531 0.12765957
 0.49315068 0.24489796 0.04651163 0.05       0.         0.23809524
 0.31746032 0.48780488 0.20408163]"
30,tree_df_week_prev_diff_store_scaled,0.9502719502719502,"[[25  1  0 ...  0  0  0]
 [ 0 27  0 ...  0  0  0]
 [ 0  0 24 ...  0  0  0]
 ...
 [ 0  0  0 ... 31  0  0]
 [ 0  0  0 ...  0 31  0]
 [ 0  0  0 ...  0  0 26]]","[0.86206897 0.93103448 0.88888889 0.98412698 0.96428571 0.95454545
 0.98666667 1.         0.96296296 0.98630137 0.93333333 0.94117647
 0.96296296 0.98507463 0.98245614 1.         1.         0.90322581
 0.88888889 1.         0.91803279 0.875      0.96428571 0.95454545
 0.98113208 0.92307692 0.90140845 0.95238095 1.         0.89285714
 0.8        0.95774648 0.94117647 1.         0.92592593 0.93333333
 0.94545455 1.         0.85714286 0.96296296 1.         1.
 1.         0.95384615 0.94545455]"
31,tree_df_week_prev_diff_store_not_scaled,0.9463869463869464,"[[18  0  0 ...  0  0  0]
 [ 1 31  0 ...  0  0  0]
 [ 0  0 25 ...  0  0  0]
 ...
 [ 0  0  0 ... 25  0  0]
 [ 0  0  0 ...  0 29  0]
 [ 0  0  0 ...  0  0 25]]","[0.7826087  0.95384615 0.90909091 0.98113208 0.95238095 0.94594595
 1.         0.94545455 0.97222222 0.94339623 0.82926829 0.95081967
 0.98461538 0.96666667 1.         1.         1.         0.95833333
 0.8        1.         0.96296296 0.97058824 0.94915254 0.86363636
 0.9787234  0.95081967 0.88135593 0.9375     1.         0.92307692
 0.79166667 0.93333333 0.95522388 1.         0.92592593 0.92
 0.94736842 1.         0.79166667 0.94117647 1.         1.
 1.         0.95081967 0.96153846]"
32,random_forest_df_unique_store_scaled,0.9790209790209791,"[[26  1  0 ...  0  0  0]
 [ 0 25  0 ...  0  0  0]
 [ 0  0 27 ...  0  0  0]
 ...
 [ 0  0  0 ... 31  0  0]
 [ 0  0  0 ...  0 28  0]
 [ 0  0  0 ...  0  0 24]]","[0.92857143 0.94339623 0.98181818 1.         1.         0.98461538
 0.98181818 0.98461538 1.         1.         1.         0.93103448
 1.         0.98412698 1.         1.         1.         0.96875
 0.97560976 1.         0.98360656 0.96       0.95238095 0.96428571
 1.         1.         0.95238095 0.93939394 1.         0.98305085
 0.89552239 0.98245614 1.         1.         1.         0.97674419
 0.98245614 1.         0.89795918 0.95081967 1.         1.
 1.         1.         0.97959184]"
33,random_forest_df_unique_store_not_scaled,0.9766899766899767,"[[23  3  0 ...  0  0  0]
 [ 0 29  0 ...  0  0  0]
 [ 0  0 32 ...  0  0  0]
 ...
 [ 0  0  0 ... 26  0  0]
 [ 0  0  0 ...  0 22  0]
 [ 0  0  0 ...  0  0 25]]","[0.82142857 0.90625    0.98461538 1.         1.         1.
 0.98245614 1.         0.98039216 1.         0.98550725 0.89285714
 1.         1.         0.98039216 1.         1.         1.
 0.97959184 1.         0.98412698 0.96875    0.94545455 0.98412698
 1.         0.95652174 0.98039216 0.90196078 1.         0.98181818
 0.90625    1.         1.         0.97777778 1.         1.
 1.         1.         0.91525424 0.95384615 1.         1.
 1.         1.         0.98039216]"
34,svc_df_unique_store_scaled,0.7536907536907537,"[[10  4  0 ...  0  0  0]
 [ 1 25  0 ...  0  0  0]
 [ 0  0 19 ...  0  0  0]
 ...
 [ 0  0  0 ... 27  0  0]
 [ 0  0  0 ...  0 25  0]
 [ 0  0  0 ...  0  0 22]]","[0.35087719 0.79365079 0.55072464 0.75       0.90566038 0.63492063
 0.9        0.89795918 0.8358209  0.95454545 0.68085106 0.83333333
 0.81818182 0.95081967 0.88888889 0.97959184 1.         0.56
 0.59649123 0.82539683 0.72131148 0.58333333 0.92307692 0.69230769
 0.80701754 0.625      0.77272727 0.84       1.         0.21052632
 0.22222222 0.97368421 0.9122807  0.92753623 0.59259259 0.14285714
 0.44776119 0.94594595 0.38356164 0.97142857 0.95652174 0.86363636
 0.98181818 0.98039216 0.89795918]"
